Sentence,Rough_POS,Detailed_POS,Lemmatized_Sentence
ang pinakamahirap na bansa sa America.,DT.* JJ.*_JJ.* CC.* NN.* CC.* NN.* PM.*,DTC JJCS_JJD CCP NNC CCT NNP PMP,ang hirap na bansa sa america.,
"Ang mga ulat tungkol sa mga naging pinsala ay inihanda ng Pamahalaan ng Haiti sa tulong ng Komisyon Pang Ekonomiko ng Latin America at Caribbean,",DT.* DT.* NN.* RB.* CC.* DT.* VB.* NN.* LM VB.* CC.* NN.* CC.* NN.* CC.* NN.* CC.* NN.* NN.* NN.* CC.* NN.* NN.* CC.* NN.* PM.*,DTC DTCP NNC RBR CCT DTCP VBTS NNC LM VBTS CCB NNP CCB NNP CCT NNC CCB NNP NNP NNP CCB NNP NNP CCA NNP PMC,"ang mga ulat tungkol sa mga naging pinsala ay handa ng pamahalaan ng haiti sa tulong ng komisyon pang ekonomiko ng latin america at caribbean,",
"ang Interamerican Development Bank,",DT.* NN.* NN.* NN.* PM.*,DTC NNP NNP NNP PMC,"ang interamerican development bank,",
"ang Bangkong Pandaigdig,",DT.* NN.*_CC.* NN.* PM.*,DTC NNP_CCP NNP PMC,"ang bangko pandaigdig,",
"ang Nagkakaisang Bansa,",DT.* NN.* NN.* PM.*,DTC NNP NNP PMC,"ang nagkakaisang bansa,",
at ang Unyon ng Europa.,CC.* DT.* NN.* CC.* NN.* PM.*,CCA DTC NNP CCB NNP PMP,at ang unyon ng europa.,
"Natalo ng Indiya ang Inglatera ng dalawang wiket sa ika anim na Isang-Araw na Pandaigdigan na serye sa Oval,",VB.* CC.* NN.* DT.* NN.* CC.* JJ.*_CC.* NN.* CC.* JJ.* JJ.* CC.* PR.*_CC.* PM.* NN.* CC.* NN.* CC.* NN.* CC.* NN.* PM.*,VBTS CCB NNP DTC NNP CCB JJN_CCP NNC CCT JJN JJN CCP PRI_CCP PMS NNP CCP NNP CCP NNC CCT NNP PMC,"talo ng indiya ang inglatera ng dalawa wiket sa ika anim na araw na pandaigdigan na serye sa oval,",
"Nagtamo ang Inglatera ng maagang pagkasawi noong si Alastair Cook ay nalagay sa kagipitan na walang puntos sa unang katapusan ng laro,",VB.* DT.* NN.* CC.* JJ.*_CC.* NN.* RB.*_CC.* DT.* NN.* NN.* LM VB.* CC.* NN.* CC.* VB.*_CC.* NN.* CC.* JJ.*_CC.* NN.* CC.* NN.* PM.*,VBTS DTC NNP CCB JJD_CCP NNC RBW_CCP DTP NNP NNP LM VBTS CCT NNC CCP VBN_CCP NNC CCT JJN_CCP NNC CCB NNC PMC,"tamo ang inglatera ng aga sawi noo si alastair cook ay lagay sa gipit na wala puntos sa una katapusan ng laro,",
na nasundan pagkatapos kaagad ni Matt Prior na nalaglag sa lbw kay Ajit Agarkar.,CC.* VB.* RB.* RB.* DT.* NN.* NN.* CC.* VB.* CC.* NN.* DT.* NN.* NN.* PM.*,CCP VBTS RBW RBW DTP NNP NNP CCP VBTS CCT NNC DTP NNP NNP PMP,na nasundan tapos agad ni matt prior na laglag sa lbw kay ajit agarkar.,
Si Ian Bell at si Kevin Pietersen ay naghati sa pagtutulungan para sa 59 na puntos bago si Bell ay napa alis ni Piyush Chawla kulang lamang ng 50 na puntos.,DT.* NN.* NN.* CC.* DT.* NN.* NN.* LM VB.* CC.* NN.* CC.* CC.* CD.* CC.* NN.* RB.* DT.* NN.* LM VB.* NN.* DT.* NN.* NN.* JJ.* RB.* CC.* CD.* CC.* NN.* PM.*,DTP NNP NNP CCA DTP NNP NNP LM VBTS CCT NNC CCT CCT CDB CCP NNC RBW DTP NNP LM VBTS NNC DTP NNP NNP JJD RBI CCB CDB CCP NNC PMP,si ian bell at si kevin pietersen ay hati sa pagtutulungan para sa 59 na puntos bago si bell ay napa alis ni piyush chawla kulang lamang ng 50 na puntos.,
Si Paul Collingwood ay nakagawa lamang ng isang pag ikot bago natanggal na iniwan ang Inglatera ng 83-4.,DT.* NN.* NN.* LM VB.* RB.* CC.* PR.*_CC.* CC.* NN.* RB.* VB.* CC.* VB.* DT.* NN.* CC.* CD.* PM.* CD.* PM.*,DTP NNP NNP LM VBTS RBI CCB PRI_CCP CCR NNC RBW VBTS CCP VBOF DTC NNP CCB CDB PMS CDB PMP,si paul collingwood ay gawa lamang ng isa pag ikot bago tanggal na iniwan ang inglatera ng 83-4.,
"Si Kevin Pietersen at debutante ng ODI na si Luke Wright ay parehong nagtala ng mga limampu,",DT.* NN.* NN.* CC.* NN.* CC.* NN.* CC.* DT.* NN.* NN.* LM JJ.*_CC.* VB.* CC.* DT.* NN.* PM.*,DTP NNP NNP CCA NNC CCB NNP CCP DTP NNP NNP LM JJC_CCP VBTS CCB DTCP NNC PMC,"si kevin pietersen at debutante ng odi na si luke wright ay pareho tala ng mga limampu,",
at si Wright ay kabahagi ni Owais Shah sa 106 na pag ikot.,CC.* DT.* NN.* LM NN.* DT.* NN.* NN.* CC.* CD.* CC.* CC.* NN.* PM.*,CCA DTP NNP LM NNC DTP NNP NNP CCT CDB CCP CCR NNC PMP,at si wright ay bahagi ni owais shah sa 106 na pag ikot.,
"Si Shah ay nagtamo ng 107 na hindi natatanggal,",DT.* NN.* LM VB.* CC.* CD.* CC.* RB.* VB.* PM.*,DTP NNP LM VBTS CCB CDB CCP RBF VBTR PMC,"si shah ay tamo ng 107 na hindi natatanggal,",
at tinapos ni Dimitri Mascarenhas ang innings ng Inglatera sa pamamagitan ng pagpalo ng limang anim sa huling limang bola.,CC.* VB.* DT.* NN.* NN.* DT.* NN.* CC.* NN.* CC.* NN.* CC.* NN.* CC.* JJ.*_CC.* JJ.* CC.* JJ.*_CC.* JJ.*_CC.* NN.* PM.*,CCA VBTS DTP NNP NNP DTC NNC CCB NNP CCT NNC CCB NNC CCB JJN_CCP JJN CCT JJD_CCP JJN_CCP NNC PMP,at tapos ni dimitri mascarenhas ang innings ng inglatera sa pamamagitan ng palo ng lima anim sa huli lima bola.,
"Ang huling laban ay gaganapin sa Lord's,",DT.* JJ.*_CC.* NN.* LM VB.* CC.* NN.* PM.* NN.* PM.*,DTC JJD_CCP NNC LM VBTF CCT NNP PMS NNCA PMC,"ang huli laban ay ganap sa lord's,",
London sa ika-8 ng Setyembre.,NN.* CC.* JJ.* PM.* CD.* CC.* NN.* PM.*,NNP CCT JJN PMS CDB CCB NNP PMP,london sa ika-8 ng setyembre.,
"Sa London,",CC.* NN.* PM.*,CCT NNP PMC,"sa london,",
"England - Kaninang umaga ang Kagawad sa Palakasan ng Australya,",NN.* PM.* NN.*_CC.* RB.* DT.* NN.* CC.* NN.* CC.* NN.* PM.*,NNP PMS NNP_CCP RBW DTC NNP CCT NNP CCB NNP PMC,"england - kanina umaga ang kagawad sa lakas ng australya,",
"si Kate Lundy,",DT.* NN.* NN.* PM.*,DTP NNP NNP PMC,"si kate lundy,",
ay pinanood si Elizabeth Kosmala at Natalie Smith para makasali sa pinal na resulta ng palarong pang kababaihan na R2-10m air pistol SH1.,LM VB.* DT.* NN.* NN.* CC.* NN.* NN.* CC.* VB.* CC.* JJ.* CC.* NN.* CC.* NN.*_CC.* RB.*_CC.* NN.* CC.* NN.* PM.* CD.* FW NN.* NN.* PM.*,LM VBTS DTP NNP NNP CCA NNP NNP CCT VBW CCT JJD CCP NNC CCB NNC_CCP RBI_CCP NNC CCP NNP PMS CDB FW NNC NNP PMP,ay nood si elizabeth kosmala at natalie smith para kasali sa pinal na resulta ng laro pang bai na r2-10m air pistol sh1.,
"Si Lundy ay inaasahan na mananatili sa Inglatera para sa kabuuan ng Paralympics,",DT.* NN.* LM VB.* CC.* VB.* CC.* NN.* CC.* CC.* PR.* CC.* NN.* PM.*,DTP NNP LM VBTR CCP VBTF CCT NNP CCT CCT PRI CCB NNP PMC,"si lundy ay asa na tili sa inglatera para sa kabuuan ng paralympics,",
"at naka iskedyul na manood ng palakasan,",CC.* RB.* NN.* CC.* VB.* CC.* NN.* PM.*,CCA RBD NNC CCP VBW CCB NNC PMC,"at naka iskedyul na nood ng palakasan,",
"pagbibisikleta,",NN.* PM.*,NNC PMC,"pagbibisikleta,",
"pagbubuhat,",VB.* PM.*,VBW PMC,"pagbubuhat,",
"paggaod,",NN.* PM.*,NNC PMC,"paggaod,",
"paglalangoy,",NN.* PM.*,NNC PMC,"paglalangoy,",
"rugby na gamit ang upuang de gulong,",FW CC.* VB.* DT.* CC.* FW NN.* PM.*,FW CCP VBS DTC CCB FW NNC PMC,"rugby na gamit ang upuang de gulong,",
basketbol at tenis.,NN.* CC.* NN.* PM.*,NNC CCA NNC PMP,basketbol at tenis.,
"Habang siya ay nasa lugar na ito,",RB.* PR.* LM RB.* NN.* CC.* PR.* PM.*,RBW PRS LM RBL NNC CCP PRO PMC,"habang siya ay nasa lugar na ito,",
kailangan niyang makakuha ng katugunan mula sa komunidad ng Paralympic sa Australya hinggil sa suporta ng pamahalaan para sa palakasan ng mga may kapansanan.,VB.* PR.*_CC.* VB.* CC.* NN.* RB.* CC.* NN.* CC.* NN.* CC.* NN.* RB.* CC.* NN.* CC.* NN.* CC.* CC.* NN.* CC.* DT.* VB.* NN.* PM.*,VBS PRS_CCP VBW CCB NNC RBL CCT NNC CCB NNP CCT NNP RBR CCT NNC CCB NNC CCT CCT NNC CCB DTCP VBH NNC PMP,kailangan niya kuha ng katugunan mula sa komunidad ng paralympic sa australya hinggil sa suporta ng pamahalaan para sa lakas ng mga may kapansanan.,
Ang ilan sa pinakamaimpluwensiyang Muslim sa Britanya na nasa Nagkakaisang Kaharian ng Kalakhang Britanya ay gumawa ng sulat kay Punong Ministro Tony Blair na nagsasabing nararapat na magkaroon ng madaliang pagbabago sa Panlabas na polisiya ng UK.,DT.* PR.* CC.* JJ.*_JJ.*_CC.* NN.* CC.* NN.* CC.* RB.* NN.* NN.* CC.* RB.*_CC.* NN.* LM VB.* CC.* NN.* DT.* NN.* NN.* NN.* NN.* CC.* VB.*_CC.* RB.* CC.* VB.* CC.* JJ.*_CC.* NN.* CC.* NN.* CC.* NN.* CC.* NN.* PM.*,DTC PRQ CCT JJCS_JJD_CCP NNP CCT NNP CCP RBL NNP NNP CCB RBD_CCP NNP LM VBAF CCB NNC DTP NNP NNP NNP NNP CCP VBTR_CCP RBD CCP VBW CCB JJD_CCP NNC CCT NNP CCP NNC CCB NNPA PMP,ang ilan sa impluwensiya muslim sa britanya na nasa nagkakaisang hari ng kalakhang britanya ay gawa ng sulat kay puno ministro tony blair na sabi nararapat na roon ng madaliang bago sa panlabas na polisiya ng uk.,
"Sa talaan,",CC.* NN.* PM.*,CCT NNC PMC,"sa talaan,",
sinasabi nila na ang pangkasalukuyang polisiya ng pamahalaan ay pumupukaw ng panatismo at nailalagay ang mga ordinaryong tao sa kapahamakan sa loob ng Nagkakaisang Kaharian ng Kalakhang Britanya at gayundin sa ibang bansa.,VB.* PR.* CC.* DT.* JJ.*_CC.* NN.* CC.* NN.* LM VB.*_VB.* CC.* NN.* CC.* VB.* DT.* DT.* JJ.*_CC.* NN.* CC.* NN.* CC.* NN.* CC.* NN.* NN.* CC.* RB.*_CC.* NN.* CC.* CC.* CC.* PR.*_CC.* NN.* PM.*,VBTR PRP CCP DTC JJD_CCP NNC CCB NNC LM VBTR_VBAF CCB NNC CCA VBTS DTC DTCP JJD_CCP NNC CCT NNC CCT NNC CCB NNP NNP CCB RBD_CCP NNP CCA CCB CCT PRI_CCP NNC PMP,sabi nila na ang pangkasalukuyang polisiya ng pamahalaan ay pukaw ng panatismo at lagay ang mga ordinaryo tao sa hamak sa loob ng nagkakaisang hari ng kalakhang britanya at gayundin sa iba bansa.,
Kanila ding hinimok ang Punong Minitstro na palaganapin niya ang kaniyang mga pagsisikap sa pagharap sa terorismo at pagiging panatismo.,NN.* RB.*_CC.* VB.* DT.* NN.*_CC.* NN.* CC.* VB.* PR.* DT.* PR.*_CC.* DT.* NN.* CC.* NN.* CC.* NN.* CC.* VB.* NN.* PM.*,NNP RBI_CCP VBOF DTC NNP_CCP NNP CCP VBOF PRS DTC PRSP_CCP DTCP NNC CCT NNC CCT NNC CCA VBTR NNC PMP,kanila ding himok ang puno minitstro na laganap niya ang kaniya mga sikap sa harap sa terorismo at pagiging panatismo.,
"Ang sulat ay nilagdaan ng tatlong Miyembrong Muslim ng Parliyamento,",DT.* NN.* LM VB.* CC.* JJ.*_CC.* NN.*_CC.* NN.* CC.* NN.* PM.*,DTC NNC LM VBTS CCB JJN_CCP NNP_CCP NNP CCB NNP PMC,"ang sulat ay lagda ng tatlong miyembro muslim ng parliyamento,",
"ng tatlong magkakaparehong Muslim at ng tatlumpu't-walong grupo ng mga Muslim kasama na ang Konseho ng Muslim sa Britanya,",CC.* JJ.*_CC.* JJ.*_CC.* NN.* CC.* CC.* CD.* PM.* NN.* PM.* JJ.*_CC.* NN.* CC.* DT.* NN.* CC.* CC.* DT.* NN.* CC.* NN.* CC.* NN.* PM.*,CCB JJN_CCP JJD_CCP NNP CCA CCB CDB PMS NNCA PMS JJN_CCP NNC CCB DTCP NNP CCB CCP DTC NNP CCB NNP CCT NNP PMC,"ng tatlong magkakaparehong muslim at ng walo grupo ng mga muslim kasama na ang konseho ng muslim sa britanya,",
"ang Asosasyon ng Muslim sa Britanya,",DT.* NN.* CC.* NN.* CC.* NN.* PM.*,DTC NNP CCB NNP CCT NNP PMC,"ang asosasyon ng muslim sa britanya,",
ang Tinipong Muslim ng Britanya at ang Komite ng Matatag na Muslim.,DT.* NN.* NN.* CC.* NN.* CC.* DT.* NN.* CC.* JJ.* CC.* NN.* PM.*,DTC NNP NNP CCB NNP CCA DTC NNP CCB JJD CCP NNP PMP,ang tipo muslim ng britanya at ang komite ng tatag na muslim.,
"Si Sadiq Khan,",DT.* NN.* NN.* PM.*,DTP NNP NNP PMC,"si sadiq khan,",
"isa sa Miyembro ng Parliyamento na pumirma sa sulat,",PR.* CC.* NN.* CC.* NN.* CC.* VB.* CC.* NN.* PM.*,PRI CCT NNC CCB NNP CCP VBAF CCT NNC PMC,"isa sa miyembro ng parliyamento na pirma sa sulat,",
ay kinondena ang paninindigan ng Pamahalaan sa Gitnang Silangan.,LM VB.* DT.* NN.* CC.* NN.* CC.* NN.*_CC.* NN.* PM.*,LM VBTS DTC NNC CCB NNP CCT NNP_CCP NNP PMP,ay kondena ang tindig ng pamahalaan sa gitna silangan.,
Ang pamahalaan ay nagkaroon ng ilang matagumpay na mga pangunahing panlabas na polisiya na nakatulong para gawing mas mabuting tirahan ang mundo.,DT.* NN.* LM VB.* CC.* PR.*_CC.* JJ.* CC.* DT.* JJ.*_CC.* JJ.* CC.* NN.* CC.* VB.* CC.* VB.*_CC.* JJ.* JJ.*_CC.* NN.* DT.* NN.* PM.*,DTC NNC LM VBTS CCB PRQ_CCP JJD CCP DTCP JJD_CCP JJD CCP NNC CCP VBTS CCT VBOF_CCP JJCC JJD_CCP NNC DTC NNC PMP,ang pamahalaan ay roon ng ilang tagumpay na mga pangunahing panlabas na polisiya na tulo para gawi mas buti tira ang mundo.,
Pero ang kasalukuyang polisiya sa Gitnang Silangan ay nakikita ng halos lahat na aking nakausap na hindi tapat at hindi makatarungan.,CC.* DT.* RB.*_CC.* NN.* CC.* NN.*_CC.* NN.* LM VB.* CC.* JJ.* PR.* CC.* PR.*_CC.* VB.* CC.* RB.* JJ.* CC.* RB.* JJ.* PM.*,CCT DTC RBW_CCP NNC CCT NNP_CCP NNP LM VBTR CCB JJD PRI CCP PRSP_CCP VBTS CCP RBF JJD CCA RBF JJD PMP,pero ang kasalukuyang polisiya sa gitna silangan ay kita ng halos lahat na aking kausap na hindi tapat at hindi makatarungan.,
Kahit gustuhin man natin o hindi ang pakiramdam ng kawalan ng katarungan ay pinaglalaruan sa mga kamay ng mga radikal.,CC.* VB.* RB.* PR.* CC.* RB.* DT.* NN.* CC.* NN.* CC.* NN.* LM VB.* CC.* DT.* NN.* CC.* DT.* NN.* PM.*,CCT VBOF RBI PRP CCT RBF DTC NNC CCB NNC CCB NNC LM VBRF CCT DTCP NNC CCB DTCP NNC PMP,kahit gustuhin man natin o hindi ang pakiramdam ng kawal ng katarungan ay pinaglalaruan sa mga kamay ng mga radikal.,
Bilang mga konserbatibong tao gagawin natin ang lahat upang labanan ang mga radikal.,CC.* DT.* JJ.*_CC.* NN.* VB.* PR.* DT.* PR.* CC.* VB.* DT.* DT.* NN.* PM.*,CCT DTCP JJD_CCP NNC VBTF PRP DTC PRI CCB VBOF DTC DTCP NNC PMP,bilang mga konserbatibo tao gawin natin ang lahat upang laba ang mga radikal.,
"Kami ay umaasa na makikibahagi ang pamahalaan sa bagay na ito,",PR.* LM VB.*_VB.* CC.* VB.* DT.* NN.* CC.* NN.* CC.* PR.* PM.*,PRP LM VBTR_VBAF CCP VBTF DTC NNC CCT NNC CCP PRO PMC,"kami ay umaasa na makikibahagi ang pamahalaan sa bagay na ito,",
"hindi lamang sa pagbabago ng mga patakaran sa mga hawak na bagahe,",RB.* RB.* CC.* NN.* CC.* DT.* NN.* CC.* DT.* JJ.* CC.* NN.* PM.*,RBF RBI CCT NNC CCB DTCP NNC CCT DTCP JJD CCP NNC PMC,"hindi lamang sa bago ng mga patakaran sa mga hawak na bagahe,",
pero sa pamamagitan ng pagpapakita nito na siya ay tagapagtaguyod ng katarungan sa buong mundo.,CC.* CC.* NN.* CC.* NN.* PR.* CC.* PR.* LM NN.* CC.* NN.* CC.* PR.*_CC.* NN.* PM.*,CCT CCT NNC CCB NNC PRO CCP PRS LM NNC CCB NNC CCT PRI_CCP NNC PMP,pero sa pamamagitan ng kita nito na siya ay tagapagtaguyod ng katarungan sa buo mundo.,
"Bilang tugon sa sulat,",CC.* NN.* CC.* NN.* PM.*,CCT NNC CCT NNC PMC,"bilang tugon sa sulat,",
ang tagapagsalita ng 10 Downing Street ay nagsabi:,DT.* NN.* CC.* CD.* NN.* NN.* LM VB.* PM.*,DTC NNC CCB CDB NNP NNP LM VBTS PMS,ang tagapagsalita ng 10 downing street ay nagsabi:,
""Lagi nating dapat alalahanin na ang terorismo na nakaka apekto ngayon sa Kanluran ay nagwasak na sa loob ng ilang dekada ng mga Muslim na bansa.,PM.*  RB.* PR.*_CC.* VB.* VB.* CC.* DT.* NN.* CC.* RB.* RB.* RB.* CC.* NN.* LM VB.* CC.* CC.* NN.* CC.* PR.*_CC.* NN.* CC.* DT.* NN.* CC.* NN.* PM.*,PMS  RBW PRP_CCP VBS VBTF CCP DTC NNC CCP RBD RBD RBW CCT NNP LM VBTS CCP CCT NNC CCB PRQ_CCP NNC CCB DTCP NNP CCP NNC PMP,""lagi ting dapat alala na ang terorismo na kaka apekto ngayon sa kanluran ay wasak na sa loob ng ilang dekada ng mga muslim na bansa.,
Ito ay walang duda na napangunahan na ang aming desisyon na suportahan ang kasarinlan ng Afghanistan at Iraq at siyempre ang pagsalakay noong ika-11 ng Setyembre.,PR.* LM VB.*_CC.* NN.* CC.* VB.* RB.* DT.* PR.*_CC.* NN.* CC.* VB.* DT.* NN.* CC.* NN.* CC.* NN.* CC.* RB.* DT.* NN.* RB.*_CC.* JJ.* PM.* CD.* CC.* NN.* PM.*,PRO LM VBN_CCP NNC CCP VBTS RBI DTC PRSP_CCP NNC CCP VBOF DTC NNC CCB NNP CCA NNP CCA RBT DTC NNC RBW_CCP JJN PMS CDB CCB NNP PMP,ito ay wala duda na napangunahan na ang aming desisyon na suporta ang kasarinlan ng afghanistan at iraq at siyempre ang salakay noo ika-11 ng setyembre.,
Ang panlabas na polisiya ay nakatutok sa pag suporta sa mga tao ng mga bansang iyun sa kanilang pagnanais na manirahan sa kasarinlan ng katulad ng atin nang tinatamasa sa UK."",DT.* JJ.* CC.* NN.* LM RB.* CC.* CC.* NN.* CC.* DT.* NN.* CC.* DT.* NN.*_CC.* JJ.* CC.* PR.*_CC.* NN.* CC.* VB.* CC.* NN.* CC.* JJ.* CC.* PR.* RB.* VB.* CC.* NN.* PM.* PM.*,DTC JJD CCP NNC LM RBD CCT CCR NNC CCT DTCP NNC CCB DTCP NNC_CCP JJD CCT PRSP_CCP NNC CCP VBW CCT NNC CCB JJC CCB PRSP RBW VBTR CCT NNPA PMP PMS,ang panlabas na polisiya ay tutok sa pag suporta sa mga tao ng mga bansa iyun sa kanila nais na manirahan sa kasarinlan ng tulad ng atin nang tamasa sa uk."",
Sinabi din ng Downing Street na si Tony Blair ay ""nakatayong handa"" na makipagkita sa mga kinatawan ng Muslim sa kaniyang pagbabalik sa UK mula sa pagbabakasyon sa Caribbean.,VB.* RB.* CC.* NN.* NN.* CC.* DT.* NN.* NN.* LM PM.* VB.*_CC.* JJ.* PM.* CC.* VB.* CC.* DT.* NN.* CC.* NN.* CC.* PR.*_CC.* NN.* CC.* NN.* RB.* CC.* NN.* CC.* NN.* PM.*,VBTS RBI CCB NNP NNP CCP DTP NNP NNP LM PMS VBTS_CCP JJD PMS CCP VBW CCT DTCP NNC CCB NNP CCT PRSP_CCP NNC CCT NNPA RBW CCT NNC CCT NNP PMP,sabi din ng downing street na si tony blair ay ""nakatayong handa"" na makipagkita sa mga kinatawan ng muslim sa kaniya balik sa uk mula sa bakasyon sa caribbean.,
Ang sulat ay ginawa pagkatapos mapigilan ng pulis ang hinihinalang pagtangka ng mga terorista na pasabugin ang ilang mga eroplano na lumilipad sa kalagitnaan ng himpapawid na mula sa Nagkakaisang Kaharian ng Kalakhang Britanya patungo sa Estados Unidos ng Amerika.,DT.* NN.* LM VB.* VB.* VB.* CC.* NN.* DT.* RB.*_CC.* VB.* CC.* DT.* NN.* CC.* VB.* DT.* PR.*_CC.* DT.* NN.* CC.* VB.*_VB.* CC.* NN.* CC.* NN.* CC.* RB.* CC.* NN.* NN.* CC.* RB.*_CC.* NN.* RB.* CC.* NN.* NN.* CC.* NN.* PM.*,DTC NNC LM VBOF VBW VBW CCB NNC DTC RBD_CCP VBW CCB DTCP NNC CCP VBOF DTC PRQ_CCP DTCP NNC CCP VBTR_VBAF CCT NNC CCB NNC CCP RBL CCT NNP NNP CCB RBD_CCP NNP RBL CCT NNP NNP CCB NNP PMP,ang sulat ay gawa tapos pigil ng pulis ang hinala tangka ng mga terorista na pasabugin ang ilang mga eroplano na lipad sa kalagitnaan ng himpapawid na mula sa nagkakaisang hari ng kalakhang britanya tungo sa estados unidos ng amerika.,
"Isang aksidente na kinasasangkutan ng dalawang pam paaralan na bus,",PR.*_CC.* NN.* CC.* VB.* CC.* JJ.*_CC.* JJ.*_CC.* NN.* CC.* NN.* PM.*,PRI_CCP NNC CCP VBTR CCB JJN_CCP JJD_CCP NNC CCP NNC PMC,"isa aksidente na kinasasangkutan ng dalawa pam paaralan na bus,",
isang treyler ng traktora at isang sasakyan na ginagamit sa isport ay nag-iwan ng hindi bababa sa dalawang tao na namatay at limampu pang iba na nasaktan na halos 40 milya sa labas ng St.,PR.*_CC.* NN.* CC.* NN.* CC.* PR.*_CC.* NN.* CC.* VB.* CC.* NN.* LM VB.* PM.* VB.* CC.* RB.* VB.* CC.* JJ.*_CC.* NN.* CC.* VB.* CC.* JJ.* RB.*_CC.* PR.* CC.* VB.* CC.* JJ.* CD.* NN.* CC.* NN.* CC.* NN.*,PRI_CCP NNC CCB NNC CCA PRI_CCP NNC CCP VBTR CCT NNC LM VBTS PMS VBOF CCB RBF VBTF CCT JJN_CCP NNC CCP VBTS CCA JJN RBI_CCP PRI CCP VBTS CCP JJD CDB NNC CCT NNC CCB NNPA,isa treyler ng traktora at isa sasakyan na gamit sa sport ay iwan ng hindi baba sa dalawa tao na namatay at limampu pang iba na nasaktan na halos 40 milya sa labas ng st.,
"Louis,",NN.* PM.*,NNP PMC,"louis,",
Missouri ayon sa mga pahayag.,NN.* RB.* CC.* DT.* NN.* PM.*,NNP RBR CCT DTCP NNC PMP,missouri ayon sa mga pahayag.,
Ang pampaaralang bus ay may mga dalang mag-aaral mula sa Mataas na Paaralan ng St.,DT.* JJ.*_CC.* NN.* LM VB.* DT.* NN.*_CC.* VB.* PM.* NN.* RB.* CC.* NN.* CC.* NN.* CC.* NN.*,DTC JJD_CCP NNC LM VBH DTCP NNC_CCP VBW PMS NNC RBL CCT NNP CCP NNP CCB NNPA,ang pampaaralang bus ay may mga dalang mag-aaral mula sa taas na paaralan ng st.,
James at nasa daan patungo sa panlibangang parke sa St.,NN.* CC.* RB.* NN.* RB.* CC.* NN.*_CC.* NN.* CC.* NN.*,NNP CCA RBL NNC RBL CCT NNC_CCP NNC CCT NNPA,james at nasa daan tungo sa panlibangang parke sa st.,
"Louis na Six Flags,",NN.* CC.* NN.* NN.* PM.*,NNP CCP NNP NNP PMC,"louis na six flags,",
na humigit-kumulang na 10 milya,CC.* VB.* PM.* VB.* CC.* CD.* NN.*,CCP VBAF PMS VBAF CCP CDB NNC,na kulang na 10 milya,
1 kilometro) mula sa pinangyarihan ng aksidente.,CD.* NN.* NN.* RB.* CC.* VB.* CC.* NN.* PM.*,CDB NNC NNPA RBW CCT VBTS CCB NNC PMP,1 kilometro) mula sa yari ng aksidente.,
"Sa panayam noong Sabado,",CC.* NN.* RB.*_CC.* NN.* PM.*,CCT NNC RBW_CCP NNP PMC,"sa panayam noo sabado,",
ika-21 ng Oktubre kasama ang,JJ.* PM.* CD.* CC.* NN.* CC.* DT.*,JJN PMS CDB CCB NNP CCB DTC,ika-21 ng oktubre kasama ang,
"net,",FW PM.*,FW PMC,"net,",
"si Alberto Fernandez,",DT.* NN.* NN.* PM.*,DTP NNP NNP PMC,"si alberto fernandez,",
"isang nakakataas na diplomatiko ng Kagawaran ng Estado,",PR.*_CC.* VB.* CC.* NN.* CC.* NN.* CC.* NN.* PM.*,PRI_CCP VBTR CCP NNC CCB NNP CCB NNP PMC,"isa taas na diplomatiko ng gawaran ng estado,",
ay gumawa ng sumusunod na pahayag hinggil sa digmaan sa Iraq:,LM VB.* CC.* VB.*_VB.* CC.* NN.* RB.* CC.* NN.* CC.* NN.* PM.*,LM VBAF CCB VBTR_VBAF CCP NNC RBR CCT NNC CCT NNP PMS,ay gawa ng sunod na hayag hinggil sa digma sa iraq:,
"""Aming sinubukan ang pinakamabuti,",PM.*  PR.*_CC.* VB.* DT.* JJ.*_JJ.* PM.*,PMS  PRQ_CCP VBOF DTC JJCS_JJD PMC,"""aming sinubukan ang pinakamabuti,",
"pero sa tingin ko napakalaki ng puwang para sa mga kritisismo,",CC.* CC.* NN.* PR.* JJ.*_JJ.* CC.* NN.* CC.* CC.* DT.* NN.* PM.*,CCT CCT NNC PRS JJCS_JJD CCB NNC CCT CCT DTCP NNC PMC,"pero sa tingin ko laki ng puwang para sa mga kritisismo,",
"dahil,",CC.* PM.*,CCR PMC,"dahil,",
"walang kaduda-duda,",VB.*_CC.* NN.* PM.* NN.* PM.*,VBN_CCP NNC PMS NNC PMC,"wala kaduda-duda,",
"mayroong pagmamataas at mayroong kahangalan ang Estados Unidos sa Iraq,""",VB.*_CC.* NN.* CC.* VB.*_CC.* NN.* DT.* NN.* NN.* CC.* NN.* PM.* PM.*,VBH_CCP NNC CCA VBH_CCP NNC DTC NNP NNP CCT NNP PMC PMS,"mayroong taas at mayroong hangal ang estados unidos sa iraq,""",
"Hindi nagtagal si Fernandez ay humingi ng tawad,",RB.* VB.* DT.* NN.* LM VB.* CC.* NN.* PM.*,RBF VBTS DTP NNP LM VBAF CCB NNC PMC,"hindi tagal si fernandez ay hingi ng tawad,",
"""Sa pagbasa ko ng kopya ng aking pagharap sa Al-Jazeera,",PM.*  CC.* VB.* PR.* CC.* NN.* CC.* PR.*_CC.* NN.* CC.* NN.* PM.* NN.* PM.*,PMS  CCT VBW PRS CCB NNC CCB PRSP_CCP NNC CCT NNP PMS NNP PMC,"""sa basa ko ng kopya ng aking harap sa al-jazeera,",
